   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2524    0.002    0.000    0.002    0.000 server.py:111(motherTongue)
     2524    0.140    0.000  170.780    0.068 server.py:126(check)
     2524    0.006    0.000    0.147    0.000 server.py:131(<listcomp>)
     2524    0.030    0.000    0.038    0.000 server.py:133(_create_params)
     2524    0.029    0.000  170.875    0.068 server.py:151(correct)
     2524    0.052    0.000  170.110    0.067 server.py:213(_query_server)
     2524    0.008    0.000    0.040    0.000 sessions.py:107(get_redirect_target)
     2524    0.020    0.000    0.139    0.000 sessions.py:159(resolve_redirects)
     2524    0.059    0.000    0.636    0.000 sessions.py:389(__init__)
     2524    0.002    0.000    0.002    0.000 sessions.py:451(__enter__)
     2524    0.008    0.000    1.285    0.001 sessions.py:454(__exit__)
     2524    0.112    0.000    7.812    0.003 sessions.py:457(prepare_request)
     2524    0.097    0.000  167.728    0.066 sessions.py:500(request)
    17668    0.107    0.000    0.616    0.000 sessions.py:61(merge_setting)
     2524    0.142    0.000  150.576    0.060 sessions.py:671(send)
     2524    0.007    0.000    0.146    0.000 sessions.py:723(<listcomp>)
     2524    0.057    0.000    9.202    0.004 sessions.py:749(merge_environment_settings)
     2524    0.022    0.000    0.035    0.000 sessions.py:780(get_adapter)
     2524    0.023    0.000    1.278    0.001 sessions.py:794(close)
     5048    0.021    0.000    0.040    0.000 sessions.py:799(mount)
     5048    0.015    0.000    0.020    0.000 sessions.py:805(<listcomp>)
     7572    0.018    0.000    0.073    0.000 sessions.py:84(<listcomp>)
     2524    0.006    0.000    0.008    0.000 sessions.py:91(merge_hooks)
    37860    0.085    0.000    2.622    0.000 shlex.py:101(get_token)
    32812    1.846    0.000    2.533    0.000 shlex.py:133(read_token)
     2524    0.035    0.000    0.040    0.000 shlex.py:21(__init__)
   512372    0.183    0.000    0.183    0.000 shlex.py:68(punctuation_chars)
     5048    0.012    0.000    0.016    0.000 shlex.py:72(push_token)
    40384    0.063    0.000    0.092    0.000 six.py:1014(ensure_text)
     5048    0.015    0.000    0.022    0.000 six.py:642(itervalues)
     5048    0.007    0.000    0.007    0.000 six.py:991(ensure_str)
     2524    0.223    0.000    0.223    0.000 socket.py:220(__init__)
     2524    0.120    0.000    0.168    0.000 socket.py:302(makefile)
     2524    0.007    0.000    0.007    0.000 socket.py:488(_decref_socketios)
     2524    0.012    0.000    0.457    0.000 socket.py:494(_real_close)
     2524    0.012    0.000    0.469    0.000 socket.py:498(close)
     2524    0.037    0.000    0.037    0.000 socket.py:679(__init__)
     5049    0.052    0.000  131.304    0.026 socket.py:691(readinto)
     7573    0.016    0.000    0.016    0.000 socket.py:730(readable)
     2524    0.024    0.000    0.035    0.000 socket.py:768(close)
     2524    0.022    0.000    0.182    0.000 socket.py:938(getaddrinfo)
     5048    0.017    0.000    0.054    0.000 socket.py:99(_intenum_converter)
     1264    0.006    0.000    0.114    0.000 spellchecker.py:114(split_words)
    41646    0.177    0.000    2.637    0.000 spellchecker.py:150(correction)
    41646    0.120    0.000    1.993    0.000 spellchecker.py:163(candidates)
    42114    0.166    0.000    1.627    0.000 spellchecker.py:190(known)
    42114    0.184    0.000    0.430    0.000 spellchecker.py:197(<listcomp>)
    42114    0.175    0.000    0.255    0.000 spellchecker.py:198(<listcomp>)
    42114    0.342    0.000    0.776    0.000 spellchecker.py:199(<setcomp>)
      467    0.043    0.000    0.175    0.000 spellchecker.py:212(edit_distance_1)
      467    0.004    0.000    0.004    0.000 spellchecker.py:224(<listcomp>)
      467    0.003    0.000    0.003    0.000 spellchecker.py:225(<listcomp>)
      467    0.006    0.000    0.007    0.000 spellchecker.py:226(<listcomp>)
      467    0.063    0.000    0.063    0.000 spellchecker.py:227(<listcomp>)
      467    0.046    0.000    0.046    0.000 spellchecker.py:228(<listcomp>)
        1    0.000    0.000    0.975    0.975 spellchecker.py:242(__edit_distance_alt)
        1    0.000    0.000    0.001    0.001 spellchecker.py:250(<listcomp>)
        1    0.001    0.001    0.006    0.006 spellchecker.py:251(<listcomp>)
        1    0.020    0.020    0.968    0.968 spellchecker.py:252(<listcomp>)
    42679    0.304    0.000    0.365    0.000 spellchecker.py:254(_check_if_should_check)
    41717    0.098    0.000    0.158    0.000 spellchecker.py:302(__getitem__)
   266771    0.081    0.000    0.081    0.000 spellchecker.py:322(dictionary)
      467    0.000    0.000    0.000    0.000 spellchecker.py:347(letters)
    42679    0.018    0.000    0.018    0.000 spellchecker.py:355(longest_word_length)
    41717    0.084    0.000    0.293    0.000 spellchecker.py:73(__getitem__)
      634    0.005    0.000    0.007    0.000 sre_parse.py:1066(expand_template)
  1162933    3.304    0.000    6.183    0.000 sre_parse.py:225(__init__)
 13567531   20.333    0.000   20.333    0.000 sre_parse.py:234(__next)
 12404598   12.310    0.000   30.163    0.000 sre_parse.py:255(get)
  1162933   28.377    0.000   79.640    0.000 sre_parse.py:981(parse_template)
  2342272    7.769    0.000   10.976    0.000 sre_parse.py:990(addgroup)
    17668    0.101    0.000    0.576    0.000 structures.py:40(__init__)
    58052    0.113    0.000    0.140    0.000 structures.py:46(__setitem__)
    45432    0.081    0.000    0.101    0.000 structures.py:51(__getitem__)
    15144    0.043    0.000    0.051    0.000 structures.py:57(__iter__)
    68148    0.055    0.000    0.055    0.000 structures.py:58(<genexpr>)
     5048    0.008    0.000    0.012    0.000 structures.py:60(__len__)
     5048    0.021    0.000    0.202    0.000 structures.py:76(copy)
     7572    0.080    0.000    0.080    0.000 threading.py:236(__init__)
    58052    0.074    0.000    0.115    0.000 threading.py:264(__enter__)
    58052    0.079    0.000    0.105    0.000 threading.py:267(__exit__)
    55528    0.072    0.000    0.117    0.000 threading.py:279(_is_owned)
    55528    0.096    0.000    0.213    0.000 threading.py:359(notify)
    15144    0.122    0.000    0.122    0.000 threading.py:90(RLock)
    10096    0.053    0.000    0.111    0.000 timeout.py:102(__init__)
    30288    0.051    0.000    0.058    0.000 timeout.py:119(_validate_timeout)
     2524    0.011    0.000    0.036    0.000 timeout.py:165(from_float)
     5048    0.019    0.000    0.074    0.000 timeout.py:181(clone)
     2524    0.006    0.000    0.008    0.000 timeout.py:195(start_connect)
     7572    0.006    0.000    0.006    0.000 timeout.py:220(connect_timeout)
     2524    0.006    0.000    0.006    0.000 timeout.py:238(read_timeout)
     1264    0.005    0.000    0.005    0.000 typing.py:306(inner)
    17668    1.905    0.000    2.693    0.000 url.py:210(_encode_invalid_chars)
     9465    0.021    0.000    0.033    0.000 url.py:223(<lambda>)
     7572    0.071    0.000    0.115    0.000 url.py:244(_remove_path_dot_segments)
    10096    0.051    0.000    0.090    0.000 url.py:274(_normalize_host)
     2524    0.021    0.000    0.813    0.000 url.py:323(_encode_target)
     7572    0.275    0.000    2.732    0.000 url.py:333(parse_url)
    45432    0.038    0.000    0.087    0.000 url.py:416(ensure_type)
     7572    0.052    0.000    0.088    0.000 url.py:91(__new__)
     2524    0.023    0.000    0.126    0.000 utils.py:1011(get_auth_from_url)
    10096    0.043    0.000    0.114    0.000 utils.py:1027(check_header_validity)
