ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1640268,1.249,0.000,2.814,0.000,url.py:416(ensure_type)
273378,1.664,0.000,2.765,0.000,url.py:91(__new__)
1,0.043,0.043,2506.353,2506.353,util.py:110(valid_matches)
1269,0.000,0.000,0.000,0.000,util.py:112(<lambda>)
1,0.148,0.148,1673.694,1673.694,util.py:140(<listcomp>)
1,0.010,0.010,0.010,0.010,util.py:144(<listcomp>)
1,0.001,0.001,2506.370,2506.370,util.py:153(valid_rules_scan)
1150,0.052,0.000,2.704,0.002,util.py:163(chunker)
4704,0.033,0.000,0.237,0.000,util.py:177(word_we_misspelled)
5853,0.080,0.000,194.659,0.033,util.py:193(spell_word)
1149,0.018,0.000,164.273,0.143,util.py:199(correction_rules_subset)
1149,0.004,0.000,0.004,0.000,util.py:200(<listcomp>)
1149,0.331,0.000,1673.546,1.457,util.py:201(normalize)
1149,0.005,0.000,0.005,0.000,util.py:204(<listcomp>)
1149,0.004,0.000,0.004,0.000,util.py:205(<listcomp>)
5853,13.247,0.002,2296.225,0.392,util.py:271(corrections)
884668,2.075,0.000,2.135,0.000,util.py:275(<genexpr>)
304358,0.697,0.000,0.697,0.000,util.py:284(<genexpr>)
5853,0.167,0.000,2060.658,0.352,util.py:290(<listcomp>)
4704,0.061,0.000,0.092,0.000,util.py:48(count_uppercase_letters)
85273,0.537,0.000,2218.393,0.026,util.py:54(normal_word)
10557,0.031,0.000,0.172,0.000,util.py:56(string_mutation_distance)
78225,0.289,0.000,1.447,0.000,util.py:70(apply_match)
1,0.006,0.006,0.008,0.008,util.py:79(keyboard_rules_scan)
1,0.002,0.002,0.006,0.006,util.py:86(word_rules_scan)
1,0.000,0.000,0.016,0.016,util.py:94(rules_scan)
1269,0.020,0.000,0.020,0.000,util.py:98(expand_span_to_word)
91126,0.705,0.000,4.007,0.000,utils.py:1011(get_auth_from_url)
364504,1.440,0.000,3.761,0.000,utils.py:1027(check_header_validity)
729008,0.927,0.000,2.321,0.000,utils.py:1046(_validate_header_part)
91126,1.188,0.000,166.594,0.002,utils.py:107(proxy_bypass)
91126,4.454,0.000,150.818,0.002,utils.py:194(get_netrc_auth)
273378,0.362,0.000,0.362,0.000,utils.py:201(<genexpr>)
637882,3.020,0.000,8.751,0.000,utils.py:335(to_key_val_list)
91126,0.400,0.000,0.544,0.000,utils.py:508(_parse_content_type_header)
820134,1.089,0.000,1.572,0.000,utils.py:51(_has_surrogates)
85273,1.517,0.000,2.151,0.000,utils.py:52(correct)
91126,0.602,0.000,1.579,0.000,utils.py:533(get_encoding_from_headers)
85273,0.179,0.000,0.179,0.000,utils.py:55(<listcomp>)
